id_expedition;id_commande;id_produit;quantité;entrepôt;date_expedition;date_livraison;transporteur;coût_transport;délai_livraison
SHP000145;O000168;P00149;2;Paris;2024-02-24;2024-02-28;FedEx;14.85;4
SHP000146;O000169;P00742;1;Lyon;2024-09-05;2024-09-07;DHL;10.3;2
SHP000147;O000170;P00792;5;Lyon;2024-11-26;2024-12-03;Chronopost;10.88;7
SHP000148;O000171;P00449;3;Lyon;2024-11-26;2024-11-28;DHL;14.02;2
SHP000149;O000172;P00924;1;Lyon;2024-05-03;2024-05-06;FedEx;12.51;3
SHP000150;O000173;P00373;2;Paris;2024-12-09;2024-12-11;DHL;12.23;2
SHP000151;O000174;P00562;12;Lyon;2024-12-05;2024-12-07;DHL;17.27;2
SHP000152;O000176;P00025;1;Paris;2024-10-11;2024-10-15;FedEx;14.4;4
SHP000153;O000177;P00839;1;Paris;2024-04-05;2024-04-07;DHL;11.16;2
SHP000154;O000178;P00463;3;Lyon;2024-06-17;2024-06-20;FedEx;16.89;3
SHP000155;O000179;P00754;20;Paris;2024-01-20;2024-01-24;FedEx;21.86;4
SHP000156;O000180;P00707;1;Marseille;2024-12-15;2024-12-21;UPS;10.69;6
SHP000157;O000181;P00166;5;Marseille;2024-08-31;2024-09-03;FedEx;18.72;3
SHP000158;O000183;P00573;8;Paris;2024-11-18;2024-11-25;Chronopost;12.09;7
SHP000159;O000184;P00893;1;Paris;2024-12-17;2024-12-21;FedEx;14.38;4
SHP000160;O000185;P00792;8;Marseille;2024-12-17;2024-12-21;UPS;14.1;4
SHP000161;O000186;P00099;2;Marseille;2024-03-31;2024-04-04;FedEx;15.68;4
SHP000162;O000187;P00979;5;Marseille;2024-11-17;2024-11-21;FedEx;18.32;4
SHP000163;O000188;P00811;5;Paris;2024-11-23;2024-11-25;DHL;15.07;2
SHP000164;O000189;P00604;3;Lyon;2024-12-07;2024-12-11;FedEx;17.36;4
SHP000165;O000190;P00755;1;Marseille;2024-01-28;2024-01-30;DHL;10.72;2
SHP000166;O000191;P00738;10;Marseille;2024-04-10;2024-04-13;FedEx;20.35;3
SHP000167;O000192;P00389;2;Marseille;2024-01-11;2024-01-17;Chronopost;8.57;6
SHP000168;O000193;P00175;1;Lyon;2024-01-15;2024-01-21;Chronopost;7.49;6
SHP000169;O000194;P00093;1;Paris;2024-01-17;2024-01-19;DHL;10.33;2
SHP000170;O000195;P00488;3;Marseille;2024-12-12;2024-12-14;DHL;14.73;2
SHP000171;O000196;P00717;5;Lyon;2024-12-30;2025-01-01;DHL;15.42;2
SHP000172;O000198;P00357;1;Paris;2024-01-29;2024-02-04;Chronopost;6.13;6
SHP000173;O000199;P00931;3;Lyon;2024-04-03;2024-04-09;Chronopost;10.1;6
SHP000174;O000200;P00182;1;Paris;2024-10-28;2024-11-01;UPS;10.59;4
SHP000175;O000201;P00612;5;Paris;2024-12-15;2024-12-18;FedEx;18.45;3
SHP000176;O000202;P00400;1;Marseille;2024-11-11;2024-11-13;DHL;11.39;2
SHP000177;O000203;P00890;5;Lyon;2024-12-24;2024-12-27;FedEx;18.91;3
SHP000178;O000204;P00047;2;Paris;2024-03-24;2024-03-26;DHL;13.09;2
SHP000179;O000205;P00496;12;Marseille;2024-05-14;2024-05-17;FedEx;21.37;3
SHP000180;O000206;P00175;1;Marseille;2024-12-31;2025-01-04;FedEx;13.38;4
SHP000181;O000208;P00558;2;Marseille;2024-06-10;2024-06-16;Chronopost;8.73;6
SHP000182;O000209;P00933;1;Marseille;2024-03-06;2024-03-08;DHL;10.91;2
SHP000183;O000210;P00759;12;Paris;2024-10-02;2024-10-06;FedEx;21.25;4
SHP000184;O000211;P00802;10;Paris;2024-08-14;2024-08-20;UPS;15.14;6
SHP000185;O000212;P00198;2;Paris;2024-12-31;2025-01-03;FedEx;14.58;3
SHP000186;O000213;P00809;5;Marseille;2024-01-11;2024-01-14;FedEx;18.6;3
SHP000187;O000214;P00876;8;Lyon;2024-12-24;2024-12-26;DHL;16.54;2
SHP000188;O000215;P00008;3;Marseille;2024-12-17;2024-12-20;FedEx;17.55;3
SHP000189;O000216;P00212;3;Lyon;2024-12-28;2025-01-04;Chronopost;10.24;7
SHP000190;O000217;P00966;1;Lyon;2024-01-09;2024-01-12;FedEx;14.42;3
SHP000191;O000218;P00503;1;Lyon;2024-05-09;2024-05-15;Chronopost;6.74;6
SHP000192;O000220;P00891;12;Paris;2024-09-18;2024-09-22;UPS;15.28;4
SHP000193;O000221;P00884;12;Lyon;2024-03-29;2024-04-04;UPS;15.3;6
SHP000194;O000222;P00133;5;Marseille;2024-10-20;2024-10-23;FedEx;18.33;3
SHP000195;O000223;P00948;2;Marseille;2024-11-18;2024-11-20;DHL;12.71;2
SHP000196;O000224;P00945;2;Paris;2024-11-07;2024-11-12;UPS;11.44;5
SHP000197;O000225;P00981;8;Lyon;2024-01-13;2024-01-16;FedEx;19.26;3
SHP000198;O000226;P00140;12;Marseille;2024-12-30;2025-01-03;FedEx;20.97;4
SHP000199;O000227;P00039;10;Lyon;2024-01-20;2024-01-23;FedEx;20.87;3
SHP000200;O000228;P00118;8;Marseille;2024-12-17;2024-12-21;FedEx;19.8;4
SHP000201;O000229;P00604;5;Lyon;2024-12-15;2024-12-18;FedEx;18.42;3
SHP000202;O000230;P00274;1;Lyon;2024-08-30;2024-09-02;FedEx;12.84;3
SHP000203;O000231;P00613;1;Marseille;2024-12-17;2024-12-21;FedEx;13.62;4
SHP000204;O000232;P00754;12;Marseille;2024-09-15;2024-09-19;FedEx;20.99;4
SHP000205;O000234;P00182;5;Marseille;2024-02-23;2024-02-25;DHL;14.85;2
SHP000206;O000235;P00905;1;Lyon;2024-12-13;2024-12-15;DHL;10.07;2
SHP000207;O000236;P00872;1;Paris;2024-08-31;2024-09-02;DHL;10.81;2
SHP000208;O000237;P00250;5;Lyon;2024-11-23;2024-11-30;Chronopost;11.31;7
SHP000209;O000238;P00886;1;Marseille;2024-02-11;2024-02-13;DHL;10.04;2
SHP000210;O000239;P00136;1;Marseille;2024-08-22;2024-08-25;FedEx;13.61;3
SHP000211;O000240;P00718;3;Marseille;2024-02-01;2024-02-03;DHL;14.39;2
SHP000212;O000241;P00624;5;Paris;2024-12-21;2024-12-28;Chronopost;11.54;7
SHP000213;O000242;P00013;5;Paris;2024-11-25;2024-11-27;DHL;15.22;2
SHP000214;O000243;P00526;1;Lyon;2024-07-08;2024-07-14;UPS;10.57;6
SHP000215;O000244;P00335;5;Marseille;2024-03-13;2024-03-16;FedEx;19.12;3
SHP000216;O000245;P00355;1;Lyon;2024-11-10;2024-11-12;DHL;11.9;2
SHP000217;O000247;P00767;2;Marseille;2024-01-26;2024-01-30;FedEx;15.25;4
SHP000218;O000248;P00379;8;Marseille;2024-08-20;2024-08-24;FedEx;19.46;4
SHP000219;O000249;P00157;5;Marseille;2024-02-29;2024-03-02;DHL;15.2;2
SHP000220;O000250;P00906;10;Paris;2024-07-14;2024-07-18;UPS;14.94;4
SHP000221;O000251;P00408;5;Lyon;2024-09-19;2024-09-22;FedEx;18.58;3
SHP000222;O000252;P00463;3;Lyon;2024-04-22;2024-04-27;UPS;12.98;5
SHP000223;O000253;P00343;1;Paris;2024-03-24;2024-03-27;FedEx;12.94;3
SHP000224;O000254;P00810;2;Paris;2024-12-20;2024-12-26;UPS;11.57;6
SHP000225;O000255;P00811;2;Lyon;2024-10-20;2024-10-26;Chronopost;8.12;6
SHP000226;O000256;P00330;1;Paris;2024-11-21;2024-11-23;DHL;11.95;2
SHP000227;O000257;P00615;15;Paris;2024-08-16;2024-08-22;UPS;15.81;6
SHP000228;O000259;P00629;2;Lyon;2024-11-18;2024-11-21;FedEx;15.93;3
SHP000229;O000260;P00876;12;Marseille;2024-12-08;2024-12-14;UPS;15.24;6
SHP000230;O000261;P00765;5;Paris;2024-10-05;2024-10-07;DHL;15.05;2
SHP000231;O000262;P00355;8;Marseille;2024-12-07;2024-12-11;FedEx;19.95;4
SHP000232;O000263;P00055;3;Lyon;2024-05-12;2024-05-15;FedEx;17.03;3
SHP000233;O000264;P00426;3;Lyon;2024-11-09;2024-11-13;UPS;13.04;4
SHP000234;O000265;P00924;3;Lyon;2024-11-14;2024-11-17;FedEx;16.93;3
SHP000235;O000266;P00253;1;Paris;2024-02-06;2024-02-11;UPS;10.37;5
SHP000236;O000267;P00516;8;Marseille;2024-12-29;2025-01-04;UPS;14.06;6
SHP000237;O000268;P00541;2;Paris;2024-12-18;2024-12-21;FedEx;14.81;3
SHP000238;O000269;P00864;1;Marseille;2024-12-29;2025-01-03;UPS;9.17;5
SHP000239;O000270;P00319;5;Paris;2024-12-26;2024-12-29;FedEx;18.45;3
SHP000240;O000271;P00948;1;Paris;2024-01-17;2024-01-19;DHL;11.42;2
SHP000241;O000272;P00277;15;Lyon;2024-01-12;2024-01-18;Chronopost;13.52;6
SHP000242;O000273;P00767;15;Marseille;2024-09-05;2024-09-08;FedEx;21.54;3
SHP000243;O000274;P00296;12;Marseille;2024-11-15;2024-11-18;FedEx;21.15;3
SHP000244;O000275;P00470;2;Marseille;2024-11-22;2024-11-25;FedEx;15.7;3
SHP000245;O000276;P00299;1;Lyon;2025-01-01;2025-01-05;FedEx;12.15;4
SHP000246;O000277;P00585;12;Paris;2024-12-06;2024-12-10;FedEx;21.28;4
SHP000247;O000278;P00520;2;Marseille;2024-12-13;2024-12-17;FedEx;16.28;4
SHP000248;O000279;P00398;15;Marseille;2024-10-20;2024-10-24;UPS;15.77;4
SHP000249;O000280;P00091;15;Marseille;2024-11-16;2024-11-19;FedEx;21.64;3
SHP000250;O000282;P00355;10;Marseille;2024-03-16;2024-03-19;FedEx;20.53;3
SHP000251;O000283;P00610;2;Marseille;2024-11-02;2024-11-06;FedEx;14.94;4
SHP000252;O000285;P00229;2;Marseille;2024-09-16;2024-09-22;Chronopost;9.08;6
SHP000253;O000286;P00463;10;Lyon;2024-12-02;2024-12-05;FedEx;20.51;3
SHP000254;O000287;P00404;2;Paris;2024-12-08;2024-12-10;DHL;12.54;2
SHP000255;O000288;P00366;1;Lyon;2024-08-31;2024-09-04;UPS;10.19;4
SHP000256;O000290;P00234;3;Lyon;2024-10-21;2024-10-25;FedEx;17.57;4
SHP000257;O000291;P00613;12;Paris;2024-03-25;2024-03-27;DHL;17.49;2
SHP000258;O000292;P00014;5;Paris;2024-11-07;2024-11-09;DHL;15.57;2
SHP000259;O000293;P00921;3;Paris;2024-02-11;2024-02-15;FedEx;17.7;4
SHP000260;O000294;P00759;1;Paris;2024-08-24;2024-08-28;FedEx;12.97;4
SHP000261;O000295;P00121;5;Marseille;2024-03-27;2024-03-30;FedEx;18.15;3
SHP000262;O000296;P00415;20;Marseille;2024-12-30;2025-01-01;DHL;17.92;2
SHP000263;O000297;P00184;1;Paris;2025-01-02;2025-01-05;FedEx;13.4;3
SHP000264;O000298;P00541;3;Marseille;2024-02-07;2024-02-13;Chronopost;10.15;6
SHP000265;O000299;P00366;10;Lyon;2024-12-16;2024-12-19;FedEx;20.77;3
SHP000266;O000300;P00182;8;Lyon;2024-03-16;2024-03-19;FedEx;19.41;3
SHP000267;O000301;P00681;5;Paris;2024-05-12;2024-05-15;FedEx;18.97;3
SHP000268;O000303;P00302;5;Lyon;2024-10-17;2024-10-20;FedEx;19.02;3
SHP000269;O000304;P00229;2;Lyon;2024-10-28;2024-11-04;Chronopost;8.88;7
SHP000270;O000305;P00890;2;Paris;2024-12-18;2024-12-21;FedEx;14.94;3
SHP000271;O000306;P00445;8;Lyon;2024-11-04;2024-11-06;DHL;16.47;2
SHP000272;O000307;P00341;8;Paris;2024-10-24;2024-10-28;FedEx;20.1;4
SHP000273;O000308;P00202;10;Marseille;2024-11-19;2024-11-21;DHL;16.94;2
SHP000274;O000309;P00129;12;Lyon;2024-03-22;2024-03-24;DHL;17.31;2
SHP000275;O000310;P00867;3;Lyon;2024-12-11;2024-12-14;FedEx;17.11;3
SHP000276;O000312;P00373;3;Marseille;2024-12-11;2024-12-14;FedEx;17.02;3
SHP000277;O000314;P00765;8;Lyon;2024-11-15;2024-11-17;DHL;16.39;2
SHP000278;O000315;P00008;5;Marseille;2024-09-11;2024-09-14;FedEx;18.5;3
SHP000279;O000316;P00506;5;Lyon;2025-01-04;2025-01-09;UPS;13.91;5
SHP000280;O000317;P00779;8;Marseille;2024-12-28;2025-01-01;FedEx;19.96;4
SHP000281;O000318;P00143;12;Lyon;2024-12-17;2024-12-21;FedEx;20.9;4
SHP000282;O000319;P00175;2;Marseille;2024-01-25;2024-01-30;UPS;11.37;5
SHP000283;O000320;P00373;2;Marseille;2024-10-27;2024-10-29;DHL;13.0;2
SHP000284;O000321;P00046;1;Marseille;2024-09-18;2024-09-22;UPS;9.66;4
SHP000285;O000323;P00324;3;Lyon;2024-12-05;2024-12-09;FedEx;17.78;4
SHP000286;O000324;P00336;1;Marseille;2024-01-29;2024-01-31;DHL;10.29;2
SHP000287;O000325;P00362;3;Lyon;2024-11-20;2024-11-22;DHL;13.72;2
SHP000288;O000326;P00811;3;Lyon;2024-12-27;2024-12-30;FedEx;17.43;3
SHP000289;O000327;P00347;2;Marseille;2024-06-13;2024-06-16;FedEx;14.87;3
SHP000290;O000328;P00388;3;Marseille;2024-12-27;2025-01-01;UPS;13.14;5
SHP000291;O000329;P00099;1;Marseille;2024-03-17;2024-03-19;DHL;10.24;2
SHP000292;O000330;P00688;1;Lyon;2024-12-09;2024-12-11;DHL;10.3;2
SHP000293;O000331;P00014;10;Lyon;2024-11-18;2024-11-23;UPS;14.76;5
SHP000294;O000333;P00336;2;Paris;2024-03-24;2024-03-29;UPS;11.52;5
SHP000295;O000334;P00865;1;Lyon;2024-03-08;2024-03-11;FedEx;13.27;3
SHP000296;O000335;P00971;3;Lyon;2024-05-07;2024-05-09;DHL;14.18;2
SHP000297;O000336;P00938;8;Marseille;2024-02-23;2024-02-27;FedEx;19.7;4
SHP000298;O000337;P00233;1;Paris;2024-03-14;2024-03-18;FedEx;14.16;4
SHP000299;O000338;P00510;5;Marseille;2024-09-13;2024-09-16;FedEx;18.23;3
SHP000300;O000339;P00128;1;Paris;2024-01-07;2024-01-09;DHL;10.68;2
SHP000301;O000341;P00341;1;Paris;2024-09-11;2024-09-13;DHL;10.41;2
SHP000302;O000343;P00417;3;Lyon;2024-10-10;2024-10-14;FedEx;17.31;4
SHP000303;O000344;P00778;3;Marseille;2024-12-17;2024-12-21;UPS;12.78;4
SHP000304;O000345;P00268;5;Marseille;2024-08-27;2024-08-30;FedEx;18.37;3
SHP000305;O000348;P00273;8;Marseille;2024-02-04;2024-02-06;DHL;15.81;2
SHP000306;O000349;P00957;15;Paris;2024-12-10;2024-12-15;UPS;15.83;5
