id_achat;date_achat;id_produit;quantité;id_fournisseur;prix_unitaire;délai_livraison_jours
PO000105;05/07/2024;P00793;75;S008;209.08;6
PO000106;19/01/2024;P00090;10;S008;216.95;8
PO000107;21/08/2024;P00569;50;S028;133.75;13
PO000108;09/03/2024;P00988;25;S037;83.73;13
PO000109;15/12/2024;P00376;75;S028;21.16;7
PO000110;19/10/2024;P00975;200;S029;42.34;11
PO000111;06/08/2024;P00116;500;S032;132.66;14
PO000112;12/07/2024;P00501;300;S048;218.47;3
PO000113;02/04/2024;P00980;500;S029;204.11;8
PO000114;11/01/2024;P00625;10;S029;286.49;3
PO000115;24/12/2024;P00483;100;S046;190.03;5
PO000116;31/01/2024;P00858;50;S048;141.45;13
PO000117;04/03/2024;P00881;200;S029;261.2;7
PO000118;21/06/2024;P00484;150;S029;61.47;9
PO000119;15/01/2024;P00994;50;S028;47.68;3
PO000120;30/04/2024;P00517;75;S029;267.59;7
PO000121;27/08/2024;P00031;50;S028;166.83;4
PO000122;14/12/2024;P00139;50;S008;121.04;10
PO000123;02/10/2024;P00313;500;S002;121.91;6
PO000124;12/01/2024;P00705;200;S028;69.53;2
PO000125;29/02/2024;P00367;25;S012;271.02;13
PO000126;21/12/2024;P00368;50;S028;222.65;6
PO000127;20/08/2024;P00254;25;S028;173.23;10
PO000128;19/05/2024;P00334;500;S008;96.72;8
PO000129;07/11/2024;P00683;200;S029;143.7;8
PO000130;27/10/2024;P00752;75;S029;96.99;8
PO000131;29/09/2024;P00186;100;S026;91.26;5
PO000132;12/01/2024;P00504;100;S028;141.34;12
PO000133;29/04/2024;P00632;25;S030;158.5;5
PO000134;17/04/2024;P00842;300;S010;272.12;13
PO000135;15/08/2024;P00574;75;S045;214.42;6
PO000136;27/09/2024;P00054;10;S028;218.56;13
PO000137;02/07/2024;P00936;50;S028;217.57;9
PO000138;27/01/2024;P00422;100;S010;285.47;8
PO000139;08/09/2024;P00350;50;S028;159.6;8
PO000140;11/04/2024;P00536;100;S046;296.72;12
PO000141;09/07/2024;P00667;200;S041;234.49;12
PO000142;06/01/2024;P00302;150;S010;210.9;13
PO000143;23/07/2024;P00919;100;S008;91.43;6
PO000144;24/07/2024;P00078;75;S008;102.81;6
PO000145;14/05/2024;P00454;50;S010;229.91;7
PO000146;20/08/2024;P00846;75;S029;242.64;13
PO000147;12/12/2024;P00174;50;S048;77.58;5
PO000148;17/09/2024;P00598;300;S008;250.02;10
PO000149;10/02/2024;P00430;200;S028;201.25;9
PO000150;28/09/2024;P00508;25;S029;25.04;14
PO000151;12/08/2024;P00711;150;S010;271.4;10
PO000152;25/11/2024;P00204;100;S028;181.21;7
PO000153;19/09/2024;P00176;500;S029;212.78;11
PO000154;04/03/2024;P00438;75;S028;103.69;8
PO000155;30/10/2024;P00689;100;S028;282.08;11
PO000156;01/05/2024;P00159;75;S032;158.9;2
PO000157;21/06/2024;P00584;10;S007;89.94;10
PO000158;23/05/2024;P00066;10;S008;75.67;7
PO000159;08/01/2024;P00683;25;S029;260.56;2
PO000160;05/02/2024;P00729;50;S046;35.81;3
PO000161;01/06/2024;P00595;50;S023;119.61;5
PO000162;21/01/2024;P00340;100;S029;40.16;11
PO000163;06/12/2024;P00338;100;S008;281.71;5
PO000164;23/10/2024;P00094;500;S010;165.04;10
PO000165;15/01/2024;P00031;50;S008;182.48;14
PO000166;02/04/2024;P00343;300;S029;255.84;11
PO000167;13/02/2024;P00401;100;S046;92.63;5
PO000168;09/09/2024;P00597;75;S028;60.47;2
PO000169;18/03/2024;P00205;100;S028;137.0;14
PO000170;13/10/2024;P00420;100;S029;68.91;13
PO000171;21/03/2024;P00910;25;S028;196.6;13
PO000172;10/01/2024;P00604;150;S029;230.44;11
PO000173;16/10/2024;P00009;100;S028;87.82;5
PO000174;17/02/2024;P00857;500;S029;287.11;3
PO000175;27/10/2024;P00330;200;S028;229.39;5
PO000176;26/12/2024;P00273;100;S028;196.88;11
PO000177;12/06/2024;P00959;100;S028;187.65;7
PO000178;23/11/2024;P00335;300;S029;274.27;10
PO000179;26/04/2024;P00533;300;S028;214.41;8
PO000180;29/08/2024;P00708;150;S048;291.43;14
PO000181;30/11/2024;P00625;150;S012;64.11;3
PO000182;04/05/2024;P00793;25;S046;83.3;3
PO000183;12/11/2024;P00489;150;S010;244.85;14
PO000184;18/04/2024;P00152;50;S029;36.58;2
PO000185;20/07/2024;P00571;75;S010;294.08;12
PO000186;23/03/2024;P00588;50;S008;122.25;14
PO000187;20/01/2024;P00050;50;S012;93.63;10
PO000188;08/12/2024;P00757;50;S029;45.95;5
PO000189;08/07/2024;P00959;200;S008;90.62;6
PO000190;18/05/2024;P00316;150;S046;126.84;12
PO000191;26/05/2024;P00411;75;S029;11.14;14
PO000192;14/12/2024;P00499;100;S017;198.47;7
PO000193;18/01/2024;P00800;500;S021;279.38;3
PO000194;08/12/2024;P00884;50;S029;177.52;3
PO000195;24/05/2024;P00105;75;S028;21.41;9
PO000196;08/07/2024;P00306;75;S012;120.66;8
PO000197;05/08/2024;P00077;300;S028;247.84;13
PO000198;17/02/2024;P00122;50;S046;61.96;5
PO000199;06/01/2024;P00101;500;S002;192.72;13
PO000200;26/06/2024;P00549;50;S008;134.22;6
PO000201;19/10/2024;P00219;25;S029;56.83;8
PO000202;10/01/2024;P00767;25;S008;127.35;4
PO000203;02/01/2024;P00371;50;S029;104.61;11
PO000204;16/03/2024;P00406;100;S010;266.37;9
PO000205;10/06/2024;P00211;75;S008;30.16;12
PO000206;02/04/2024;P00244;50;S028;107.86;10
PO000207;21/06/2024;P00048;75;S048;250.77;14
PO000208;30/09/2024;P00088;150;S008;110.1;2
PO000209;03/07/2024;P00674;150;S008;144.71;6
PO000210;11/04/2024;P00272;100;S028;112.08;3
PO000211;30/04/2024;P00720;300;S029;24.22;5
PO000212;15/03/2024;P00949;75;S010;99.56;12
PO000213;03/01/2024;P00072;10;S016;271.88;8
PO000214;17/07/2024;P00659;50;S008;134.42;10
PO000215;12/10/2024;P00770;50;S028;135.54;9
PO000216;24/04/2024;P00066;75;S046;289.78;4
PO000217;22/12/2024;P00164;200;S028;299.96;4
PO000218;17/04/2024;P00963;150;S029;280.09;7
PO000219;18/09/2024;P00052;25;S028;183.88;7
PO000220;25/03/2024;P00636;75;S029;202.26;8
PO000221;13/04/2024;P00985;100;S027;227.58;4
PO000222;26/10/2024;P00128;500;S010;15.45;3
PO000223;02/08/2024;P00820;10;S018;202.64;2
PO000224;18/06/2024;P00430;75;S028;219.94;9
PO000225;27/11/2024;P00621;500;S008;170.38;3
PO000226;23/01/2024;P00766;500;S028;263.61;12
PO000227;03/04/2024;P00533;50;S012;235.43;10
PO000228;29/06/2024;P00377;10;S028;268.02;6
PO000229;30/05/2024;P00692;75;S008;280.08;3
PO000230;03/08/2024;P00878;200;S028;150.6;10
PO000231;31/10/2024;P00472;50;S010;178.43;4
PO000232;22/09/2024;P00010;300;S028;63.98;13
PO000233;29/11/2024;P00499;50;S010;217.83;12
PO000234;12/11/2024;P00071;100;S012;146.1;8
PO000235;18/05/2024;P00366;100;S028;188.17;6
PO000236;06/11/2024;P00924;50;S022;201.26;12
PO000237;16/02/2024;P00191;50;S008;84.24;11
PO000238;23/05/2024;P00202;75;S029;278.12;13
PO000239;23/04/2024;P00985;150;S002;57.3;3
PO000240;05/04/2024;P00789;25;S029;242.12;7
PO000241;27/06/2024;P00600;100;S028;293.04;4
PO000242;26/01/2024;P00936;100;S029;18.38;2
PO000243;15/03/2024;P00579;75;S008;81.09;14
PO000244;02/02/2024;P00717;300;S048;247.85;14
PO000245;25/01/2024;P00558;100;S048;40.26;9
PO000246;06/12/2024;P00155;100;S028;48.65;2
PO000247;20/05/2024;P00632;75;S028;109.39;11
PO000248;14/01/2024;P00403;100;S029;11.82;4
PO000249;25/05/2024;P00395;25;S028;91.89;2
PO000250;27/05/2024;P00468;200;S029;280.59;13
PO000251;18/07/2024;P00387;10;S010;212.52;14
PO000252;13/06/2024;P00041;100;S010;246.91;11
PO000253;19/10/2024;P00151;100;S029;87.15;5
PO000254;20/06/2024;P00520;25;S046;183.61;14
PO000255;20/08/2024;P00956;10;S029;240.43;8
PO000256;28/03/2024;P00985;25;S029;199.91;8
PO000257;25/11/2024;P00558;50;S002;182.85;12
PO000258;18/07/2024;P00997;200;S008;278.35;11
PO000259;04/10/2024;P00873;200;S012;90.05;3
PO000260;05/09/2024;P00327;10;S029;54.9;13
PO000261;17/12/2024;P00470;50;S029;105.74;10
PO000262;05/09/2024;P00010;200;S029;105.78;2
PO000263;15/01/2024;P00064;25;S029;146.49;2
PO000264;25/06/2024;P00016;500;S010;239.56;9
PO000265;13/10/2024;P00905;50;S028;26.98;7
PO000266;21/06/2024;P00030;100;S028;293.54;14
PO000267;24/09/2024;P00460;50;S046;265.01;4
PO000268;13/06/2024;P00524;25;S028;66.52;2
PO000269;03/04/2024;P00157;50;S029;180.47;9
PO000270;06/07/2024;P00610;100;S028;234.8;9
PO000271;05/06/2024;P00396;50;S002;180.27;6
PO000272;26/01/2024;P00015;100;S029;266.3;10
PO000273;10/07/2024;P00997;25;S008;233.93;2
PO000274;31/03/2024;P00587;50;S029;231.97;5
PO000275;21/06/2024;P00301;75;S028;13.11;13
PO000276;19/09/2024;P00214;50;S002;145.15;6
PO000277;12/07/2024;P00226;25;S048;67.39;7
PO000278;01/06/2024;P00207;75;S008;290.24;7
PO000279;30/01/2024;P00822;100;S007;183.2;8
PO000280;24/04/2024;P00840;300;S029;95.32;4
PO000281;15/10/2024;P00953;150;S046;38.29;13
PO000282;29/11/2024;P00030;25;S029;21.8;2
PO000283;28/06/2024;P00307;50;S008;191.79;7
PO000284;09/06/2024;P00732;10;S008;168.14;5
PO000285;21/12/2024;P00390;25;S029;148.02;4
PO000286;02/09/2024;P00232;50;S028;218.41;4
PO000287;13/01/2024;P00428;25;S029;149.41;11
PO000288;01/06/2024;P00369;25;S028;226.57;10
PO000289;21/01/2024;P00427;25;S028;97.49;6
PO000290;01/03/2024;P00375;50;S032;97.53;4
PO000291;16/01/2024;P00051;25;S029;66.95;14
PO000292;15/11/2024;P00925;50;S022;83.22;9
PO000293;29/11/2024;P00436;100;S002;44.65;13
PO000294;16/03/2024;P00997;25;S028;40.36;6
PO000295;21/10/2024;P00555;25;S028;134.36;4
PO000296;19/12/2024;P00160;10;S048;20.59;11
PO000297;21/12/2024;P00966;75;S028;185.62;10
PO000298;11/12/2024;P00803;150;S028;94.54;2
PO000299;22/05/2024;P00837;10;S048;272.4;14
PO000300;31/10/2024;P00125;75;S008;14.52;4
PO000301;12/10/2024;P00395;100;S029;264.78;5
PO000302;23/01/2024;P00108;75;S028;251.68;8
PO000303;02/04/2024;P00997;200;S029;185.84;14
PO000304;02/08/2024;P00526;200;S028;107.14;5
PO000305;03/07/2024;P00982;10;S001;130.75;14
PO000306;02/01/2024;P00546;50;S028;249.8;11
PO000307;15/12/2024;P00443;100;S048;274.47;11
PO000308;14/09/2024;P00748;300;S029;242.93;13
PO000309;18/12/2024;P00698;150;S008;136.18;14
PO000310;12/09/2024;P00198;25;S029;269.22;11
PO000311;22/12/2024;P00193;50;S008;84.55;12
PO000312;12/07/2024;P00088;150;S008;12.69;4
PO000313;27/12/2024;P00359;75;S010;294.4;9
PO000314;30/05/2024;P00021;75;S029;47.96;13
PO000315;18/04/2024;P00482;100;S028;88.5;11
PO000316;28/12/2024;P00082;25;S028;32.43;3
PO000317;25/12/2024;P00832;200;S008;223.42;13
PO000318;02/09/2024;P00218;200;S028;46.1;14
PO000319;27/12/2024;P00707;75;S029;159.86;3
PO000320;03/08/2024;P00733;100;S028;93.22;6
PO000321;29/01/2024;P00531;100;S028;66.44;7
PO000322;17/01/2024;P00529;25;S045;218.95;12
PO000323;27/12/2024;P00091;25;S029;134.64;3
PO000324;26/02/2024;P00602;10;S048;60.86;4
PO000325;26/04/2024;P00738;200;S008;68.64;5
PO000326;03/07/2024;P00968;50;S028;60.19;11
PO000327;05/05/2024;P00186;10;S028;126.17;13
PO000328;18/02/2024;P00219;75;S008;15.21;10
PO000329;08/10/2024;P00183;10;S029;99.75;2
PO000330;06/07/2024;P00974;10;S029;32.38;9
PO000331;11/03/2024;P00473;75;S029;23.39;6
PO000332;21/03/2024;P00904;75;S028;62.75;14
PO000333;11/11/2024;P00217;75;S002;58.26;4
PO000334;12/10/2024;P00182;100;S008;277.53;13
PO000335;05/01/2024;P00978;100;S040;297.81;13
PO000336;25/08/2024;P00611;50;S029;45.33;7
PO000337;06/01/2024;P00631;100;S008;272.33;7
PO000338;25/11/2024;P00208;50;S029;194.92;7
PO000339;25/04/2024;P00759;50;S008;277.97;14
PO000340;01/07/2024;P00137;50;S028;20.38;13
PO000341;22/05/2024;P00131;50;S008;220.06;7
PO000342;29/05/2024;P00072;25;S012;48.34;6
PO000343;15/05/2024;P00172;10;S012;18.65;5
PO000344;23/02/2024;P00513;75;S028;121.82;13
PO000345;23/01/2024;P00752;75;S029;91.87;10
PO000346;22/11/2024;P00800;50;S044;258.87;4
PO000347;29/05/2024;P00814;500;S029;258.52;10
PO000348;18/03/2024;P00102;75;S010;287.32;6
PO000349;18/10/2024;P00017;200;S008;230.4;6
PO000350;11/07/2024;P00281;75;S048;193.05;6
PO000351;06/03/2024;P00804;25;S046;191.94;7
PO000352;27/07/2024;P00073;500;S028;240.77;7
PO000353;26/12/2024;P00883;200;S012;269.05;12
PO000354;16/11/2024;P00463;75;S008;105.34;9
PO000355;30/09/2024;P00848;25;S028;15.29;12
PO000356;27/06/2024;P00093;25;S027;267.74;2
PO000357;07/09/2024;P00141;150;S029;288.79;4
PO000358;20/02/2024;P00381;10;S029;236.76;11
PO000359;09/12/2024;P00015;100;S028;31.3;5
PO000360;09/08/2024;P00913;100;S028;81.11;2
PO000361;30/03/2024;P00601;25;S028;148.47;2
PO000362;17/05/2024;P00300;100;S046;104.56;10
PO000363;09/07/2024;P00093;100;S029;129.97;10
PO000364;06/06/2024;P00322;50;S010;233.37;14
PO000365;30/06/2024;P00685;75;S029;109.86;5
PO000366;22/12/2024;P00481;150;S028;184.98;4
PO000367;23/09/2024;P00836;75;S008;299.83;5
PO000368;15/06/2024;P00912;100;S029;292.99;4
PO000369;31/07/2024;P00097;50;S019;72.0;10
PO000370;23/11/2024;P00757;25;S046;71.3;12
PO000371;27/05/2024;P00642;500;S029;182.45;8
PO000372;09/06/2024;P00944;75;S049;111.05;2
PO000373;28/02/2024;P00406;50;S010;35.25;14
PO000374;18/02/2024;P00361;100;S034;42.44;12
PO000375;30/05/2024;P00752;100;S008;209.8;7
PO000376;28/11/2024;P00761;25;S008;161.67;8
PO000377;12/11/2024;P00074;200;S008;48.36;4
PO000378;28/08/2024;P00643;10;S029;68.75;10
PO000379;08/03/2024;P00560;100;S029;251.23;3
PO000380;21/09/2024;P00705;75;S028;281.11;6
PO000381;04/12/2024;P00946;50;S028;32.38;7
PO000382;01/03/2024;P00282;150;S008;126.4;14
PO000383;02/12/2024;P00066;100;S008;98.55;12
PO000384;30/03/2024;P00216;150;S002;154.68;8
PO000385;02/09/2024;P00784;50;S008;216.72;2
PO000386;12/07/2024;P00838;300;S008;215.28;14
PO000387;05/08/2024;P00047;50;S028;189.75;10
PO000388;07/10/2024;P00428;75;S044;202.29;9
PO000389;08/11/2024;P00215;300;S018;11.68;4
PO000390;11/09/2024;P00720;10;S029;54.43;10
PO000391;10/05/2024;P00092;25;S028;172.12;9
PO000392;25/10/2024;P00037;500;S029;20.63;11
PO000393;25/12/2024;P00865;500;S028;290.39;3
PO000394;12/04/2024;P00274;150;S029;107.69;12
PO000395;16/05/2024;P00571;75;S008;42.62;12
PO000396;08/08/2024;P00810;75;S029;42.21;6
PO000397;02/12/2024;P00144;50;S002;147.34;6
PO000398;16/07/2024;P00463;50;S008;127.75;12
PO000399;01/12/2024;P00339;50;S028;133.1;3
PO000400;14/01/2024;P00393;10;S029;172.71;5
PO000401;13/03/2024;P00170;75;S008;156.85;11
PO000402;02/03/2024;P00534;75;S008;240.61;11
PO000403;05/05/2024;P00355;100;S008;26.33;13
PO000404;20/02/2024;P00322;75;S002;92.24;3
PO000405;02/02/2024;P00910;200;S029;13.16;4
PO000406;11/01/2024;P00645;50;S042;119.19;12
PO000407;07/07/2024;P00405;50;S045;278.45;2
PO000408;09/04/2024;P00335;75;S011;227.61;13
PO000409;11/06/2024;P00879;25;S008;260.01;12
PO000410;14/10/2024;P00121;50;S048;201.58;7
PO000411;14/10/2024;P00905;100;S028;32.1;12
PO000412;10/01/2024;P00505;50;S028;130.66;4
PO000413;20/12/2024;P00419;200;S028;78.48;12
PO000414;24/01/2024;P00125;100;S035;72.24;9
PO000415;11/04/2024;P00706;25;S029;288.24;4
PO000416;25/07/2024;P00570;75;S048;163.08;6
PO000417;16/06/2024;P00610;150;S028;227.99;12
PO000418;04/07/2024;P00322;100;S010;299.62;7
PO000419;28/08/2024;P00103;200;S028;182.53;9
PO000420;19/06/2024;P00247;100;S012;125.16;14
PO000421;20/08/2024;P00538;10;S032;265.57;11
PO000422;21/11/2024;P00182;25;S028;229.82;8
PO000423;16/05/2024;P00931;100;S029;224.12;6
PO000424;31/01/2024;P00174;25;S028;257.89;9
PO000425;04/08/2024;P00957;75;S010;105.05;5
PO000426;08/04/2024;P00741;150;S029;14.25;5
PO000427;09/05/2024;P00886;75;S048;236.18;12
PO000428;27/09/2024;P00184;50;S008;181.68;3
PO000429;18/04/2024;P00875;100;S028;165.12;11
PO000430;02/10/2024;P00224;25;S008;58.17;3
PO000431;27/12/2024;P00142;100;S029;181.43;13
PO000432;03/04/2024;P00611;100;S045;82.4;6
PO000433;16/10/2024;P00689;75;S037;216.02;7
PO000434;11/12/2024;P00540;50;S008;43.98;12
PO000435;31/07/2024;P00823;150;S028;232.34;9
PO000436;19/08/2024;P00616;75;S029;276.63;8
PO000437;17/03/2024;P00499;10;S029;35.7;3
PO000438;26/10/2024;P00961;200;S008;185.76;3
PO000439;17/05/2024;P00582;150;S046;183.02;7
PO000440;06/06/2024;P00626;75;S012;44.03;10
PO000441;12/07/2024;P00821;50;S046;252.02;2
PO000442;26/01/2024;P00765;300;S005;201.38;8
PO000443;24/08/2024;P00312;150;S020;242.39;13
PO000444;22/03/2024;P00073;75;S028;16.45;3
PO000445;28/02/2024;P00750;100;S008;233.29;3
PO000446;02/12/2024;P00662;50;S008;295.76;9
PO000447;30/09/2024;P00970;25;S048;273.53;9
PO000448;13/10/2024;P00939;50;S001;186.99;11
PO000449;07/07/2024;P00933;50;S029;21.51;6
PO000450;21/03/2024;P00685;100;S008;77.91;4
PO000451;07/03/2024;P00266;25;S012;137.72;4
PO000452;03/06/2024;P00741;150;S048;228.22;6
PO000453;30/05/2024;P00589;75;S002;218.5;2
PO000454;27/04/2024;P00582;50;S028;127.03;9
PO000455;23/01/2024;P00504;50;S022;253.74;6
PO000456;24/05/2024;P00098;75;S028;28.34;11
PO000457;20/02/2024;P00055;50;S028;276.14;4
PO000458;26/03/2024;P00453;50;S012;134.58;9
PO000459;21/06/2024;P00319;100;S028;149.77;3
PO000460;08/08/2024;P00546;100;S022;52.71;3
PO000461;01/09/2024;P00784;100;S002;299.0;2
PO000462;14/10/2024;P00916;100;S028;127.73;13
PO000463;26/07/2024;P00725;150;S015;39.07;4
PO000464;19/02/2024;P00825;25;S029;124.19;5
PO000465;24/02/2024;P00564;500;S029;125.82;7
PO000466;15/06/2024;P00268;75;S008;154.16;12
PO000467;03/03/2024;P00187;100;S008;118.88;2
PO000468;12/02/2024;P00563;100;S008;55.92;9
PO000469;17/12/2024;P00686;75;S028;122.6;5
PO000470;28/05/2024;P00117;500;S028;232.87;2
PO000471;04/11/2024;P00737;25;S010;209.05;5
PO000472;19/02/2024;P00890;50;S008;124.06;12
PO000473;09/08/2024;P00933;25;S029;106.9;13
PO000474;12/03/2024;P00674;25;S042;284.98;5
PO000475;05/07/2024;P00778;100;S010;121.06;6
PO000476;09/11/2024;P00775;10;S028;222.15;5
PO000477;16/07/2024;P00548;200;S029;103.12;12
PO000478;05/09/2024;P00929;100;S028;190.15;5
PO000479;25/05/2024;P00594;50;S012;34.74;2
PO000480;29/12/2024;P00679;50;S008;166.87;9
PO000481;17/08/2024;P00875;25;S028;229.87;2
PO000482;16/07/2024;P00360;300;S028;10.5;5
PO000483;31/03/2024;P00744;100;S028;264.65;2
PO000484;30/05/2024;P00377;50;S046;152.76;3
PO000485;20/03/2024;P00794;10;S008;244.56;8
PO000486;09/09/2024;P00905;50;S008;234.71;3
PO000487;18/09/2024;P00582;25;S029;20.71;9
PO000488;03/09/2024;P00132;150;S028;88.59;13
PO000489;10/08/2024;P00440;100;S008;76.71;5
PO000490;29/02/2024;P00092;75;S048;75.83;11
PO000491;10/11/2024;P00429;200;S012;50.94;2
PO000492;28/05/2024;P00742;25;S012;100.28;8
PO000493;28/03/2024;P00280;75;S008;157.2;3
PO000494;18/05/2024;P00310;100;S008;119.55;5
PO000495;05/12/2024;P00001;10;S004;31.79;5
PO000496;02/06/2024;P00181;50;S046;175.82;13
PO000497;03/05/2024;P00331;75;S028;34.98;2
PO000498;20/03/2024;P00403;50;S010;82.92;13
PO000499;09/06/2024;P00670;75;S048;101.98;3
PO000500;24/08/2024;P00514;100;S008;149.58;2
PO000501;21/06/2024;P00515;50;S002;219.78;4
PO000502;29/03/2024;P00553;25;S029;155.33;3
PO000503;20/09/2024;P00750;25;S008;20.98;3
PO000504;21/10/2024;P00809;75;S029;175.11;13
PO000505;28/11/2024;P00004;25;S029;171.21;10
PO000506;10/02/2024;P00970;200;S016;94.0;6
PO000507;16/05/2024;P00211;150;S024;291.7;11
PO000508;27/09/2024;P00875;50;S008;134.15;7
PO000509;21/01/2024;P00998;150;S028;85.83;6
PO000510;09/02/2024;P00619;75;S008;129.66;8
PO000511;03/04/2024;P00769;25;S010;211.65;5
PO000512;11/06/2024;P00357;100;S028;247.41;4
PO000513;24/03/2024;P00533;100;S002;106.07;11
PO000514;01/12/2024;P00827;10;S048;48.18;4
PO000515;25/04/2024;P00677;50;S044;143.41;5
