id_commande;id_produit;date_retour;motif
O024786;P00615;2024-12-25;Client insatisfait
O005300;P00981;2024-10-02;Livraison incomplète
O013805;P00963;2024-12-21;Client insatisfait
O016547;P00811;2024-10-26;Produit abîmé
O014923;P00055;2024-12-22;Mauvaise référence
O037391;P00414;2024-02-05;Client insatisfait
O001250;P00143;2024-12-30;Livraison incomplète
O025606;P00341;2024-01-16;Mauvaise référence
O042257;P00093;2024-12-01;Client insatisfait
O015050;P00968;2025-01-22;Produit abîmé
O030735;P00532;2024-05-12;Client insatisfait
O026383;P00403;2024-12-01;Livraison incomplète
O044810;P00418;2024-09-17;Produit abîmé
O028243;P00234;2024-01-30;Mauvaise référence
O033901;P00039;2024-11-23;Livraison incomplète
O007007;P00933;2024-06-11;Mauvaise référence
O041695;P00398;2024-11-04;Produit abîmé
O017112;P00319;2024-03-31;Client insatisfait
O020125;P00767;2024-08-30;Livraison incomplète
O043022;P00509;2024-03-15;Mauvaise référence
O009456;P00876;2024-10-04;Produit abîmé
O034932;P00233;2025-01-20;Produit abîmé
O044752;P00810;2024-11-09;Client insatisfait
O012510;P00933;2024-11-17;Livraison incomplète
O007862;P00532;2024-07-13;Client insatisfait
O003293;P00341;2025-01-08;Produit abîmé
O048527;P00895;2024-12-26;Client insatisfait
O011176;P00612;2024-12-16;Livraison incomplète
O049978;P00603;2024-03-01;Produit abîmé
O006629;P00046;2024-02-18;Mauvaise référence
O042481;P00170;2024-12-09;Produit abîmé
O038343;P00767;2024-01-19;Client insatisfait
O025805;P00488;2025-01-19;Client insatisfait
O008357;P00373;2025-01-24;Client insatisfait
O001064;P00175;2024-10-16;Client insatisfait
O030852;P00733;2024-04-14;Produit abîmé
O006286;P00158;2024-01-25;Livraison incomplète
O044132;P00175;2024-03-05;Produit abîmé
O001678;P00414;2024-04-25;Livraison incomplète
O039751;P00008;2025-01-13;Produit abîmé
O030624;P00037;2024-04-08;Produit abîmé
O004236;P00445;2024-06-24;Livraison incomplète
O026483;P00906;2024-11-27;Client insatisfait
O004333;P00473;2024-12-15;Livraison incomplète
O027141;P00158;2024-12-27;Livraison incomplète
O015303;P00604;2024-05-05;Mauvaise référence
O035296;P00810;2024-01-20;Mauvaise référence
O023049;P00653;2024-08-31;Client insatisfait
O032783;P00507;2024-11-13;Mauvaise référence
O049759;P00370;2024-01-19;Produit abîmé
O007275;P00396;2024-04-12;Mauvaise référence
O007098;P00957;2024-09-25;Livraison incomplète
O037208;P00615;2024-11-29;Produit abîmé
O005115;P00551;2024-05-28;Livraison incomplète
O013921;P00121;2024-08-13;Produit abîmé
O045374;P00373;2024-07-27;Livraison incomplète
O034277;P00140;2024-12-31;Produit abîmé
O017297;P00009;2024-12-28;Client insatisfait
O026716;P00971;2025-01-03;Livraison incomplète
O000643;P00011;2024-10-21;Livraison incomplète
O040086;P00526;2024-05-23;Produit abîmé
O004266;P00418;2024-11-05;Livraison incomplète
O001370;P00765;2024-08-28;Client insatisfait
O006066;P00143;2025-01-08;Livraison incomplète
O044628;P00938;2024-10-22;Client insatisfait
O009637;P00603;2025-01-03;Mauvaise référence
O014161;P00357;2024-04-15;Mauvaise référence
O001091;P00893;2024-04-12;Mauvaise référence
O048354;P00733;2025-01-06;Client insatisfait
O045304;P00620;2025-01-03;Client insatisfait
O010996;P00152;2025-01-02;Produit abîmé
O024262;P00379;2025-01-21;Livraison incomplète
O049495;P00037;2025-01-18;Client insatisfait
O031649;P00198;2024-02-20;Produit abîmé
O019936;P00233;2024-02-05;Mauvaise référence
O021022;P00654;2024-03-20;Livraison incomplète
O013104;P00886;2024-12-17;Client insatisfait
O008178;P00654;2024-11-13;Produit abîmé
O043278;P00373;2024-01-27;Produit abîmé
O047676;P00765;2024-12-18;Client insatisfait
O031111;P00521;2024-12-22;Mauvaise référence
O029874;P00488;2024-03-18;Produit abîmé
O034209;P00037;2024-12-22;Client insatisfait
O024257;P00414;2024-12-02;Client insatisfait
O013251;P00417;2024-10-11;Produit abîmé
O026879;P00506;2024-05-12;Livraison incomplète
O012081;P00417;2024-08-13;Livraison incomplète
O023747;P00658;2024-01-28;Livraison incomplète
O042780;P00952;2024-03-10;Produit abîmé
O039539;P00541;2025-01-15;Produit abîmé
O021533;P00377;2024-02-26;Client insatisfait
O012624;P00330;2024-01-22;Client insatisfait
O025557;P00604;2024-05-21;Client insatisfait
O025517;P00710;2025-01-08;Mauvaise référence
O045153;P00158;2024-05-31;Mauvaise référence
O040074;P00536;2024-01-28;Livraison incomplète
O040102;P00355;2024-11-11;Client insatisfait
O014795;P00620;2024-12-23;Produit abîmé
O025466;P00921;2024-04-14;Client insatisfait
O013659;P00014;2024-12-12;Client insatisfait
O032312;P00558;2024-04-17;Livraison incomplète
O009295;P00226;2024-12-05;Mauvaise référence
O040024;P00170;2024-12-19;Client insatisfait
O011515;P00220;2025-01-10;Produit abîmé
O006628;P00184;2024-11-02;Livraison incomplète
O017583;P00973;2024-08-21;Mauvaise référence
O017463;P00055;2024-11-26;Client insatisfait
O012116;P00968;2024-09-01;Mauvaise référence
O002279;P00080;2024-01-10;Produit abîmé
O036489;P00014;2024-05-04;Produit abîmé
O000359;P00615;2024-02-25;Client insatisfait
O032928;P00143;2024-01-29;Livraison incomplète
O002767;P00093;2024-12-12;Livraison incomplète
O018136;P00906;2025-01-08;Livraison incomplète
O044836;P00452;2024-12-30;Livraison incomplète
O046440;P00093;2024-09-25;Livraison incomplète
O032157;P00938;2024-10-28;Client insatisfait
O009303;P00240;2024-12-08;Mauvaise référence
O023704;P00452;2024-05-26;Produit abîmé
O013108;P00931;2024-03-13;Client insatisfait
O030873;P00906;2024-09-04;Produit abîmé
O023208;P00905;2024-10-31;Client insatisfait
O034292;P00357;2024-12-17;Client insatisfait
O028086;P00135;2024-07-16;Produit abîmé
O005117;P00516;2024-02-18;Client insatisfait
O003165;P00037;2024-12-17;Client insatisfait
O000298;P00541;2024-02-23;Client insatisfait
O043912;P00986;2024-12-12;Client insatisfait
O032882;P00503;2024-11-23;Client insatisfait
O030632;P00881;2024-12-08;Livraison incomplète
O009471;P00738;2024-06-02;Client insatisfait
O031602;P00398;2025-01-02;Client insatisfait
O007051;P00413;2025-01-19;Client insatisfait
O038985;P00810;2024-10-07;Mauvaise référence
O003399;P00355;2024-12-12;Client insatisfait
O041722;P00658;2024-12-25;Client insatisfait
O008180;P00780;2024-03-14;Mauvaise référence
O005880;P00906;2024-09-27;Mauvaise référence
O011356;P00220;2024-12-31;Produit abîmé
O019500;P00233;2024-05-18;Produit abîmé
O010618;P00371;2024-01-25;Produit abîmé
O009234;P00710;2024-12-12;Produit abîmé
O000198;P00357;2024-02-01;Mauvaise référence
O028637;P00873;2025-01-03;Produit abîmé
O008111;P00658;2024-10-04;Client insatisfait
O040579;P00688;2024-09-15;Mauvaise référence
O028486;P00158;2024-03-13;Livraison incomplète
O021757;P00738;2024-03-30;Client insatisfait
O028714;P00516;2024-04-11;Livraison incomplète
O003824;P00413;2024-11-21;Produit abîmé
O035570;P00943;2024-10-23;Produit abîmé
O036320;P00099;2024-02-02;Client insatisfait
O025275;P00377;2024-12-18;Produit abîmé
O008151;P00032;2024-04-05;Produit abîmé
O035208;P00688;2024-03-05;Produit abîmé
O017098;P00811;2024-11-27;Produit abîmé
O042725;P00765;2024-11-11;Livraison incomplète
O001087;P00305;2024-12-09;Client insatisfait
O022680;P00615;2024-05-03;Produit abîmé
O015244;P00377;2025-01-05;Livraison incomplète
O020651;P00355;2024-08-16;Mauvaise référence
O043669;P00008;2024-01-24;Client insatisfait
O024957;P00612;2024-06-06;Client insatisfait
O045742;P00014;2024-01-29;Mauvaise référence
O017009;P00654;2024-12-25;Produit abîmé
O001597;P00873;2024-11-10;Client insatisfait
O039158;P00515;2025-01-11;Mauvaise référence
O011278;P00330;2024-11-05;Mauvaise référence
O026962;P00764;2024-10-06;Livraison incomplète
O046091;P00738;2025-01-02;Mauvaise référence
O031628;P00222;2025-01-15;Client insatisfait
O007896;P00986;2024-12-04;Mauvaise référence
O003984;P00330;2024-11-30;Mauvaise référence
O008822;P00620;2024-01-08;Mauvaise référence
O046510;P00658;2024-10-30;Client insatisfait
O049422;P00986;2024-12-19;Mauvaise référence
O040796;P00515;2024-12-30;Livraison incomplète
O024824;P00671;2024-10-19;Client insatisfait
O014082;P00691;2024-10-01;Livraison incomplète
O009935;P00710;2024-01-08;Livraison incomplète
O006250;P00099;2024-01-12;Client insatisfait
O013596;P00240;2024-10-04;Mauvaise référence
O018550;P00905;2025-01-08;Produit abîmé
O043919;P00024;2024-11-26;Client insatisfait
O020808;P00403;2024-09-08;Mauvaise référence
O002197;P00046;2024-11-17;Client insatisfait
O009989;P00948;2024-08-31;Mauvaise référence
O008698;P00226;2024-11-28;Mauvaise référence
O004830;P00610;2024-11-19;Produit abîmé
O025349;P00135;2024-03-22;Client insatisfait
O000807;P00047;2024-09-28;Client insatisfait
O003993;P00938;2024-12-03;Client insatisfait
O028987;P00893;2024-12-07;Livraison incomplète
O049260;P00175;2024-04-07;Client insatisfait
O025455;P00226;2024-04-24;Livraison incomplète
O033230;P00222;2024-03-11;Livraison incomplète
O007256;P00654;2024-07-28;Mauvaise référence
O013721;P00373;2024-08-30;Livraison incomplète
O031566;P00767;2024-10-01;Client insatisfait
O018737;P00507;2024-12-23;Produit abîmé
O006154;P00467;2024-04-14;Client insatisfait
O004870;P00921;2024-01-23;Mauvaise référence
O003170;P00526;2024-02-04;Mauvaise référence
O020875;P00188;2025-01-12;Livraison incomplète
O010815;P00507;2024-12-18;Mauvaise référence
O038529;P00188;2024-12-31;Mauvaise référence
O015416;P00403;2024-11-08;Livraison incomplète
O029773;P00452;2024-01-14;Livraison incomplète
O025816;P00610;2024-04-11;Mauvaise référence
O029645;P00510;2024-11-05;Client insatisfait
O038382;P00080;2024-11-04;Client insatisfait
O030647;P00118;2024-09-23;Livraison incomplète
O000496;P00136;2024-10-07;Mauvaise référence
O023869;P00011;2024-02-22;Mauvaise référence
O045900;P00413;2024-05-12;Client insatisfait
O026154;P00063;2024-02-10;Livraison incomplète
O004496;P00535;2024-09-28;Mauvaise référence
O031531;P00957;2024-10-22;Mauvaise référence
O029030;P00445;2025-01-08;Produit abîmé
O022166;P00319;2024-05-23;Produit abîmé
O020823;P00449;2024-12-22;Livraison incomplète
O010606;P00403;2025-01-04;Produit abîmé
O008246;P00093;2024-08-15;Produit abîmé
O013944;P00143;2024-11-14;Mauvaise référence
O046563;P00613;2024-04-15;Mauvaise référence
O035855;P00516;2024-12-24;Livraison incomplète
O015594;P00046;2025-01-17;Livraison incomplète
O039801;P00014;2025-01-02;Livraison incomplète
O001855;P00506;2024-10-15;Mauvaise référence
O011992;P00080;2024-09-05;Mauvaise référence
O000514;P00093;2024-12-15;Produit abîmé
O023744;P00377;2024-12-05;Client insatisfait
O024204;P00233;2024-02-29;Mauvaise référence
O026738;P00106;2024-11-30;Livraison incomplète
O030892;P00037;2024-12-28;Livraison incomplète
O047770;P00535;2024-08-05;Mauvaise référence
O036187;P00063;2024-10-15;Client insatisfait
O047807;P00895;2025-01-12;Client insatisfait
O009438;P00118;2025-01-19;Livraison incomplète
O031097;P00037;2024-12-17;Livraison incomplète
O031491;P00986;2024-01-27;Livraison incomplète
O005467;P00839;2024-05-28;Client insatisfait
O047269;P00080;2024-05-13;Livraison incomplète
O008915;P00258;2025-01-12;Livraison incomplète
O007280;P00370;2024-04-11;Produit abîmé
O028708;P00986;2025-01-02;Mauvaise référence
O006932;P00923;2024-09-05;Livraison incomplète
O020151;P00002;2024-11-30;Produit abîmé
O048751;P00615;2024-11-04;Produit abîmé
O000126;P00063;2024-07-08;Client insatisfait
O040096;P00149;2024-10-01;Client insatisfait
O022198;P00710;2024-10-03;Produit abîmé
O007044;P00413;2024-01-31;Livraison incomplète
O019703;P00220;2024-02-29;Livraison incomplète
O003465;P00357;2024-05-02;Client insatisfait
O047950;P00398;2024-12-18;Client insatisfait
O003538;P00507;2024-10-27;Client insatisfait
O002798;P00284;2025-01-05;Produit abîmé
O045963;P00503;2024-12-03;Produit abîmé
O031713;P00135;2024-10-23;Mauvaise référence
O003282;P00341;2024-05-09;Livraison incomplète
O040512;P00002;2024-12-19;Client insatisfait
O019828;P00876;2024-09-11;Produit abîmé
O038697;P00250;2024-10-26;Client insatisfait
O033353;P00943;2024-02-18;Mauvaise référence
O011326;P00923;2024-11-19;Livraison incomplète
O044302;P00612;2024-08-26;Livraison incomplète
O031934;P00943;2024-12-19;Mauvaise référence
O041621;P00220;2025-01-23;Livraison incomplète
O040810;P00250;2024-10-20;Livraison incomplète
O007036;P00467;2024-03-10;Mauvaise référence
O024403;P00024;2024-10-24;Mauvaise référence
O007260;P00099;2024-04-13;Mauvaise référence
O007068;P00973;2024-10-22;Client insatisfait
O000894;P00532;2024-06-02;Livraison incomplète
O023646;P00319;2024-12-07;Mauvaise référence
O019216;P00971;2024-09-16;Produit abîmé
O049426;P00330;2024-02-03;Client insatisfait
O018653;P00811;2024-10-07;Client insatisfait
O023050;P00893;2024-11-20;Livraison incomplète
O006684;P00780;2024-02-14;Livraison incomplète
O002237;P00449;2025-01-21;Mauvaise référence
O027375;P00780;2025-01-03;Mauvaise référence
O035218;P00952;2024-03-25;Client insatisfait
O018022;P00305;2025-01-02;Produit abîmé
O024538;P00170;2024-12-04;Client insatisfait
O042888;P00379;2024-05-04;Mauvaise référence
O026641;P00011;2024-05-01;Mauvaise référence
O047025;P00012;2024-03-26;Livraison incomplète
O031626;P00414;2024-06-08;Produit abîmé
O023241;P00518;2024-08-19;Produit abîmé
O038990;P00791;2024-11-07;Livraison incomplète
O046509;P00658;2024-02-06;Produit abîmé
O025403;P00610;2024-03-14;Mauvaise référence
O023995;P00212;2025-01-07;Produit abîmé
O039322;P00118;2024-11-05;Produit abîmé
O014926;P00184;2024-02-05;Mauvaise référence
O022500;P00105;2025-01-05;Livraison incomplète
O017406;P00449;2024-05-31;Client insatisfait
O022357;P00873;2024-05-07;Livraison incomplète
O031953;P00336;2024-12-31;Produit abîmé
O029654;P00377;2024-12-18;Produit abîmé
O043303;P00535;2024-04-11;Mauvaise référence
O003132;P00305;2024-02-29;Mauvaise référence
O033879;P00541;2024-02-15;Produit abîmé
O012309;P00403;2024-12-03;Mauvaise référence
O024751;P00971;2024-12-06;Produit abîmé
O030074;P00893;2024-09-12;Mauvaise référence
O021949;P00738;2024-06-21;Client insatisfait
O004190;P00876;2024-03-25;Livraison incomplète
O007072;P00063;2024-09-28;Mauvaise référence
O009758;P00099;2024-11-12;Livraison incomplète
O030204;P00767;2024-02-16;Livraison incomplète
O002911;P00688;2024-10-20;Client insatisfait
O000698;P00521;2024-08-29;Mauvaise référence
O029511;P00143;2025-01-15;Mauvaise référence
O015093;P00149;2024-09-06;Mauvaise référence
O027868;P00175;2024-10-07;Livraison incomplète
O030134;P00509;2024-11-29;Livraison incomplète
O030904;P00516;2024-10-30;Livraison incomplète
O020816;P00653;2024-01-30;Livraison incomplète
O017108;P00445;2024-11-05;Client insatisfait
O047488;P00610;2024-12-23;Client insatisfait
O040311;P00551;2024-09-30;Produit abîmé
O014948;P00226;2024-07-21;Mauvaise référence
O042306;P00810;2024-12-17;Livraison incomplète
O026820;P00413;2024-11-18;Produit abîmé
O048123;P00604;2024-03-20;Client insatisfait
O014072;P00357;2025-01-07;Produit abîmé
O009132;P00521;2025-01-02;Produit abîmé
O008414;P00612;2024-10-24;Livraison incomplète
O022242;P00009;2024-06-23;Mauvaise référence
O038964;P00011;2025-01-24;Mauvaise référence
O003695;P00963;2024-09-30;Client insatisfait
O045390;P00957;2024-12-02;Produit abîmé
O004591;P00012;2025-01-16;Client insatisfait
O017130;P00688;2025-01-05;Livraison incomplète
O041154;P00963;2025-01-11;Mauvaise référence
O032780;P00105;2024-02-24;Client insatisfait
O010423;P00413;2024-11-01;Mauvaise référence
O004104;P00791;2024-01-25;Livraison incomplète
O029796;P00009;2024-09-19;Client insatisfait
O047224;P00973;2024-04-08;Mauvaise référence
O007231;P00080;2024-08-15;Mauvaise référence
O022826;P00792;2025-01-22;Client insatisfait
O032299;P00149;2024-11-26;Client insatisfait
O019986;P00765;2024-04-06;Mauvaise référence
O045305;P00355;2024-06-10;Client insatisfait
O039140;P00658;2024-07-18;Livraison incomplète
O029097;P00754;2024-09-21;Produit abîmé
O043268;P00791;2024-11-26;Livraison incomplète
O043434;P00470;2024-01-10;Livraison incomplète
O007035;P00357;2025-01-07;Livraison incomplète
O028489;P00371;2024-02-28;Produit abîmé
O040258;P00398;2024-12-13;Produit abîmé
O042238;P00158;2024-03-22;Client insatisfait
O033260;P00971;2024-03-17;Mauvaise référence
O036700;P00445;2024-12-17;Client insatisfait
O021950;P00336;2025-01-07;Produit abîmé
O022328;P00691;2024-01-26;Livraison incomplète
O026534;P00558;2024-08-26;Livraison incomplète
O038387;P00080;2024-06-15;Livraison incomplète
O037870;P00341;2024-12-15;Client insatisfait
O030148;P00032;2024-10-14;Mauvaise référence
O029454;P00152;2025-01-19;Livraison incomplète
O032338;P00047;2024-02-04;Produit abîmé
O034385;P00488;2024-11-30;Client insatisfait
O008551;P00377;2024-05-01;Mauvaise référence
O029447;P00507;2024-12-15;Mauvaise référence
O012203;P00532;2024-12-05;Client insatisfait
O019163;P00550;2024-11-10;Client insatisfait
O047373;P00417;2024-03-18;Mauvaise référence
O035465;P00152;2024-09-25;Livraison incomplète
O029074;P00009;2025-01-02;Mauvaise référence
O024471;P00516;2024-04-22;Produit abîmé
O008294;P00212;2024-06-23;Mauvaise référence
O046159;P00470;2024-11-05;Client insatisfait
O034590;P00008;2024-11-26;Produit abîmé
O003358;P00212;2024-05-22;Client insatisfait
O002451;P00791;2024-03-22;Livraison incomplète
O045699;P00463;2024-11-05;Livraison incomplète
O016693;P00121;2024-01-19;Produit abîmé
O023378;P00188;2024-05-14;Client insatisfait
O018588;P00234;2024-04-25;Produit abîmé
O026315;P00093;2024-09-24;Produit abîmé
O037372;P00011;2024-11-19;Livraison incomplète
O005921;P00055;2025-01-16;Client insatisfait
O037596;P00445;2024-12-02;Mauvaise référence
O039379;P00952;2024-12-31;Livraison incomplète
O024026;P00008;2024-02-03;Produit abîmé
O005233;P00305;2025-01-24;Client insatisfait
O040233;P00780;2024-03-24;Produit abîmé
O044535;P00733;2024-04-26;Produit abîmé
O044414;P00152;2024-03-01;Produit abîmé
O023536;P00414;2024-07-15;Client insatisfait
O040985;P00152;2024-12-18;Livraison incomplète
O030082;P00188;2024-01-28;Mauvaise référence
O009459;P00182;2024-12-16;Produit abîmé
O035809;P00893;2024-04-21;Mauvaise référence
O009225;P00258;2024-04-11;Livraison incomplète
O025595;P00222;2024-05-03;Produit abîmé
O014381;P00957;2024-12-06;Client insatisfait
O033522;P00198;2024-11-12;Produit abîmé
O003417;P00510;2024-10-13;Produit abîmé
O023117;P00507;2024-03-25;Produit abîmé
O023018;P00398;2024-12-25;Produit abîmé
O007903;P00893;2024-12-12;Livraison incomplète
O041861;P00017;2024-12-18;Livraison incomplète
O033694;P00981;2024-03-19;Client insatisfait
O007957;P00063;2024-08-29;Produit abîmé
O027156;P00933;2024-12-17;Client insatisfait
O027985;P00413;2024-10-17;Produit abîmé
O038139;P00515;2025-01-06;Client insatisfait
O044195;P00881;2024-12-11;Produit abîmé
O020548;P00613;2024-01-26;Livraison incomplète
O000912;P00029;2025-01-03;Produit abîmé
O015026;P00613;2024-05-20;Produit abîmé
O020247;P00341;2024-09-24;Livraison incomplète
O033462;P00613;2024-09-02;Client insatisfait
O008889;P00002;2024-11-26;Mauvaise référence
O018045;P00791;2024-11-23;Livraison incomplète
O048692;P00371;2024-02-08;Client insatisfait
O043741;P00507;2024-04-13;Produit abîmé
O030516;P00143;2025-01-06;Mauvaise référence
O021150;P00620;2025-01-01;Client insatisfait
O002660;P00029;2024-10-05;Client insatisfait
O033767;P00733;2024-12-18;Produit abîmé
O017884;P00357;2024-09-26;Produit abîmé
O040338;P00449;2024-04-25;Client insatisfait
O043106;P00105;2024-08-17;Produit abîmé
O042316;P00943;2024-11-08;Mauvaise référence
O013960;P00046;2025-01-04;Produit abîmé
O040136;P00839;2024-06-11;Mauvaise référence
O020023;P00002;2024-12-26;Mauvaise référence
O033542;P00470;2024-10-25;Produit abîmé
O025383;P00234;2024-03-04;Client insatisfait
O044539;P00691;2024-06-25;Mauvaise référence
O024222;P00943;2024-09-20;Produit abîmé
O013012;P00691;2024-01-18;Livraison incomplète
O011554;P00379;2024-11-19;Mauvaise référence
