id_commande;date_commande;id_produit;quantité;entrepôt;statut
O000100;2024-10-23;P00931;2;Lyon;Livré
O000101;2024-12-13;P00620;2;Lyon;Livré
O000102;2024-09-24;P00917;8;Marseille;Expédié
O000103;2024-04-11;P00010;5;Paris;Livré
O000104;2024-01-23;P00996;10;Marseille;Livré
O000105;2024-03-05;P00631;3;Marseille;Livré
O000106;2024-02-21;P00536;1;Lyon;Expédié
O000107;2024-09-28;P00839;5;Lyon;Livré
O000109;2024-06-21;P00379;8;Paris;Expédié
O000110;2024-05-26;P00729;3;Lyon;Livré
O000112;2024-02-24;P00070;8;Paris;Livré
O000113;2024-10-24;P00466;3;Marseille;Livré
O000114;2024-12-19;P00462;3;Lyon;Livré
O000116;2024-12-30;P00093;2;Paris;Livré
O000117;2024-12-17;P00831;1;Lyon;Expédié
O000118;2024-11-13;P00467;1;Marseille;Expédié
O000119;2024-10-24;P00012;1;Marseille;Livré
O000120;2024-09-01;P00843;5;Lyon;Livré
O000121;2024-11-02;P00012;2;Marseille;Livré
O000122;2024-12-12;P00407;3;Paris;Livré
O000123;2024-11-21;P00671;12;Paris;Livré
O000124;2024-12-17;P00890;1;Paris;Livré
O000125;2024-12-19;P00604;2;Paris;Livré
O000126;2024-06-24;P00063;8;Lyon;Expédié
O000127;2024-11-04;P00831;1;Lyon;Livré
O000128;2024-06-02;P00240;1;Marseille;Livré
O000129;2024-12-11;P00254;2;Paris;Expédié
O000130;2024-12-10;P00336;1;Paris;Livré
O000131;2024-07-06;P00470;12;Paris;Livré
O000132;2024-04-27;P00400;8;Marseille;Livré
O000134;2024-05-11;P00028;5;Lyon;Livré
O000136;2024-03-07;P00008;10;Paris;Expédié
O000137;2024-08-28;P00160;8;Lyon;Livré
O000138;2024-03-24;P00462;1;Paris;Livré
O000139;2024-04-29;P00009;12;Paris;Expédié
O000140;2024-09-10;P00226;3;Paris;Livré
O000141;2024-01-03;P00592;8;Lyon;Livré
O000142;2024-10-04;P00426;12;Lyon;Livré
O000143;2024-12-24;P00233;2;Lyon;Livré
O000145;2024-11-16;P00973;1;Marseille;Expédié
O000146;2024-11-12;P00011;1;Paris;Livré
O000147;2024-01-15;P00693;2;Paris;Livré
O000149;2024-11-02;P00037;8;Paris;Livré
O000150;2024-11-25;P00948;10;Marseille;Livré
O000151;2024-12-22;P00396;1;Lyon;Livré
O000152;2024-12-22;P00143;3;Marseille;Livré
O000153;2024-10-29;P00105;2;Marseille;Livré
O000154;2024-12-03;P00403;1;Marseille;Livré
O000155;2024-10-09;P00099;1;Marseille;Livré
O000156;2024-10-04;P00435;2;Paris;Expédié
O000158;2024-10-14;P00506;15;Paris;Livré
O000159;2024-09-29;P00550;2;Lyon;Livré
O000160;2024-09-26;P00458;3;Lyon;Livré
O000161;2024-12-27;P00252;5;Paris;Livré
O000162;2024-03-29;P00173;2;Marseille;Expédié
O000163;2024-06-15;P00037;15;Marseille;Livré
O000164;2024-11-14;P00396;15;Marseille;Livré
O000165;2024-01-30;P00462;2;Paris;Livré
O000166;2024-12-21;P00046;3;Marseille;Livré
O000167;2024-11-06;P00754;2;Paris;Livré
O000168;2024-02-20;P00149;2;Paris;Expédié
O000169;2024-09-03;P00742;1;Lyon;Expédié
O000170;2024-11-19;P00792;5;Lyon;Expédié
O000171;2024-11-24;P00449;3;Lyon;Expédié
O000172;2024-04-30;P00924;1;Lyon;Livré
O000173;2024-12-07;P00373;2;Paris;Livré
O000174;2024-12-03;P00562;12;Lyon;Livré
O000176;2024-10-07;P00025;1;Paris;Livré
O000177;2024-04-03;P00839;1;Paris;Expédié
O000178;2024-06-14;P00463;3;Lyon;Livré
O000179;2024-01-16;P00754;20;Paris;Expédié
O000180;2024-12-09;P00707;1;Marseille;Livré
O000181;2024-08-28;P00166;5;Marseille;Livré
O000183;2024-11-11;P00573;8;Paris;Livré
O000184;2024-12-13;P00893;1;Paris;Livré
O000185;2024-12-13;P00792;8;Marseille;Livré
O000186;2024-03-27;P00099;2;Marseille;Livré
O000187;2024-11-13;P00979;5;Marseille;Livré
O000188;2024-11-21;P00811;5;Paris;Livré
O000189;2024-12-03;P00604;3;Lyon;Expédié
O000190;2024-01-26;P00755;1;Marseille;Expédié
O000191;2024-04-07;P00738;10;Marseille;Expédié
O000192;2024-01-05;P00389;2;Marseille;Expédié
O000193;2024-01-09;P00175;1;Lyon;Livré
O000194;2024-01-15;P00093;1;Paris;Livré
O000195;2024-12-10;P00488;3;Marseille;Livré
O000196;2024-12-28;P00717;5;Lyon;Livré
O000198;2024-01-23;P00357;1;Paris;Livré
O000199;2024-03-28;P00931;3;Lyon;Expédié
O000200;2024-10-24;P00182;1;Paris;Livré
O000201;2024-12-12;P00612;5;Paris;Livré
O000202;2024-11-09;P00400;1;Marseille;Expédié
O000203;2024-12-21;P00890;5;Lyon;Livré
O000204;2024-03-22;P00047;2;Paris;Livré
O000205;2024-05-11;P00496;12;Marseille;Livré
O000206;2024-12-27;P00175;1;Marseille;Expédié
O000208;2024-06-04;P00558;2;Marseille;Livré
O000209;2024-03-04;P00933;1;Marseille;Livré
O000210;2024-09-28;P00759;12;Paris;Livré
O000211;2024-08-08;P00802;10;Paris;Livré
O000212;2024-12-28;P00198;2;Paris;Expédié
O000213;2024-01-08;P00809;5;Marseille;Livré
O000214;2024-12-22;P00876;8;Lyon;Livré
O000215;2024-12-14;P00008;3;Marseille;Livré
O000216;2024-12-21;P00212;3;Lyon;Livré
O000217;2024-01-06;P00966;1;Lyon;Expédié
O000218;2024-05-03;P00503;1;Lyon;Livré
O000220;2024-09-14;P00891;12;Paris;Livré
O000221;2024-03-23;P00884;12;Lyon;Livré
O000222;2024-10-17;P00133;5;Marseille;Livré
O000223;2024-11-16;P00948;2;Marseille;Livré
O000224;2024-11-02;P00945;2;Paris;Expédié
O000225;2024-01-10;P00981;8;Lyon;Expédié
O000226;2024-12-26;P00140;12;Marseille;Livré
O000227;2024-01-17;P00039;10;Lyon;Expédié
O000228;2024-12-13;P00118;8;Marseille;Livré
O000229;2024-12-12;P00604;5;Lyon;Expédié
O000230;2024-08-27;P00274;1;Lyon;Expédié
O000231;2024-12-13;P00613;1;Marseille;Expédié
O000232;2024-09-11;P00754;12;Marseille;Livré
O000234;2024-02-21;P00182;5;Marseille;Livré
O000235;2024-12-11;P00905;1;Lyon;Expédié
O000236;2024-08-29;P00872;1;Paris;Livré
O000237;2024-11-16;P00250;5;Lyon;Livré
O000238;2024-02-09;P00886;1;Marseille;Expédié
O000239;2024-08-19;P00136;1;Marseille;Livré
O000240;2024-01-30;P00718;3;Marseille;Livré
O000241;2024-12-14;P00624;5;Paris;Livré
O000242;2024-11-23;P00013;5;Paris;Livré
O000243;2024-07-02;P00526;1;Lyon;Livré
O000244;2024-03-10;P00335;5;Marseille;Livré
O000245;2024-11-08;P00355;1;Lyon;Livré
O000247;2024-01-22;P00767;2;Marseille;Expédié
O000248;2024-08-16;P00379;8;Marseille;Expédié
O000249;2024-02-27;P00157;5;Marseille;Livré
O000250;2024-07-10;P00906;10;Paris;Livré
O000251;2024-09-16;P00408;5;Lyon;Livré
O000252;2024-04-17;P00463;3;Lyon;Livré
O000253;2024-03-21;P00343;1;Paris;Livré
O000254;2024-12-14;P00810;2;Paris;Expédié
O000255;2024-10-14;P00811;2;Lyon;Livré
O000256;2024-11-19;P00330;1;Paris;Livré
O000257;2024-08-10;P00615;15;Paris;Livré
O000259;2024-11-15;P00629;2;Lyon;Livré
O000260;2024-12-02;P00876;12;Marseille;Livré
O000261;2024-10-03;P00765;5;Paris;Livré
O000262;2024-12-03;P00355;8;Marseille;Livré
O000263;2024-05-09;P00055;3;Lyon;Expédié
O000264;2024-11-05;P00426;3;Lyon;Expédié
O000265;2024-11-11;P00924;3;Lyon;Expédié
O000266;2024-02-01;P00253;1;Paris;Livré
O000267;2024-12-23;P00516;8;Marseille;Livré
O000268;2024-12-15;P00541;2;Paris;Livré
O000269;2024-12-24;P00864;1;Marseille;Expédié
O000270;2024-12-23;P00319;5;Paris;Expédié
O000271;2024-01-15;P00948;1;Paris;Livré
O000272;2024-01-06;P00277;15;Lyon;Expédié
O000273;2024-09-02;P00767;15;Marseille;Livré
O000274;2024-11-12;P00296;12;Marseille;Expédié
O000275;2024-11-19;P00470;2;Marseille;Livré
O000276;2024-12-28;P00299;1;Lyon;Livré
O000277;2024-12-02;P00585;12;Paris;Expédié
O000278;2024-12-09;P00520;2;Marseille;Expédié
O000279;2024-10-16;P00398;15;Marseille;Expédié
O000280;2024-11-13;P00091;15;Marseille;Expédié
O000282;2024-03-13;P00355;10;Marseille;Livré
O000283;2024-10-29;P00610;2;Marseille;Expédié
O000285;2024-09-10;P00229;2;Marseille;Livré
O000286;2024-11-29;P00463;10;Lyon;Livré
O000287;2024-12-06;P00404;2;Paris;Livré
O000288;2024-08-27;P00366;1;Lyon;Livré
O000290;2024-10-17;P00234;3;Lyon;Livré
O000291;2024-03-23;P00613;12;Paris;Expédié
O000292;2024-11-05;P00014;5;Paris;Livré
O000293;2024-02-07;P00921;3;Paris;Livré
O000294;2024-08-20;P00759;1;Paris;Livré
O000295;2024-03-24;P00121;5;Marseille;Expédié
O000296;2024-12-28;P00415;20;Marseille;Expédié
O000297;2024-12-30;P00184;1;Paris;Livré
O000298;2024-02-01;P00541;3;Marseille;Livré
O000299;2024-12-13;P00366;10;Lyon;Livré
O000300;2024-03-13;P00182;8;Lyon;Livré
O000301;2024-05-09;P00681;5;Paris;Expédié
O000303;2024-10-14;P00302;5;Lyon;Expédié
O000304;2024-10-21;P00229;2;Lyon;Expédié
O000305;2024-12-15;P00890;2;Paris;Expédié
O000306;2024-11-02;P00445;8;Lyon;Livré
O000307;2024-10-20;P00341;8;Paris;Expédié
O000308;2024-11-17;P00202;10;Marseille;Expédié
O000309;2024-03-20;P00129;12;Lyon;Livré
O000310;2024-12-08;P00867;3;Lyon;Livré
O000312;2024-12-08;P00373;3;Marseille;Expédié
O000314;2024-11-13;P00765;8;Lyon;Livré
O000315;2024-09-08;P00008;5;Marseille;Expédié
O000316;2024-12-30;P00506;5;Lyon;Livré
O000317;2024-12-24;P00779;8;Marseille;Expédié
O000318;2024-12-13;P00143;12;Lyon;Expédié
O000319;2024-01-20;P00175;2;Marseille;Expédié
O000320;2024-10-25;P00373;2;Marseille;Expédié
O000321;2024-09-14;P00046;1;Marseille;Livré
O000323;2024-12-01;P00324;3;Lyon;Livré
O000324;2024-01-27;P00336;1;Marseille;Livré
O000325;2024-11-18;P00362;3;Lyon;Expédié
O000326;2024-12-24;P00811;3;Lyon;Expédié
O000327;2024-06-10;P00347;2;Marseille;Livré
O000328;2024-12-22;P00388;3;Marseille;Livré
O000329;2024-03-15;P00099;1;Marseille;Livré
O000330;2024-12-07;P00688;1;Lyon;Livré
O000331;2024-11-13;P00014;10;Lyon;Livré
O000333;2024-03-19;P00336;2;Paris;Livré
O000334;2024-03-05;P00865;1;Lyon;Livré
O000335;2024-05-05;P00971;3;Lyon;Expédié
O000336;2024-02-19;P00938;8;Marseille;Livré
O000337;2024-03-10;P00233;1;Paris;Expédié
O000338;2024-09-10;P00510;5;Marseille;Livré
O000339;2024-01-05;P00128;1;Paris;Expédié
O000341;2024-09-09;P00341;1;Paris;Livré
O000343;2024-10-06;P00417;3;Lyon;Expédié
O000344;2024-12-13;P00778;3;Marseille;Livré
O000345;2024-08-24;P00268;5;Marseille;Livré
O000348;2024-02-02;P00273;8;Marseille;Expédié
O000349;2024-12-05;P00957;15;Paris;Livré
O000350;2024-10-14;P00916;3;Lyon;Livré
O000351;2024-12-09;P00070;2;Paris;Livré
O000352;2024-12-28;P00357;8;Marseille;Expédié
O000353;2024-05-28;P00550;2;Lyon;Expédié
O000354;2024-05-14;P00952;2;Marseille;Livré
O000355;2024-04-03;P00099;1;Lyon;Livré
O000357;2024-01-31;P00070;1;Paris;Expédié
O000358;2024-08-03;P00881;15;Marseille;Livré
O000359;2024-01-26;P00615;10;Lyon;Livré
O000360;2024-12-07;P00550;5;Marseille;Expédié
O000361;2024-04-04;P00234;2;Paris;Livré
O000362;2024-12-15;P00151;1;Paris;Livré
O000363;2024-02-12;P00721;1;Marseille;Expédié
O000364;2024-01-24;P00738;2;Lyon;Livré
O000365;2024-11-03;P00755;3;Paris;Livré
O000366;2024-01-16;P00377;5;Paris;Livré
O000368;2024-01-14;P00629;5;Lyon;Livré
O000369;2024-10-04;P00370;2;Paris;Livré
O000370;2024-11-29;P00016;15;Paris;Expédié
O000371;2024-10-20;P00355;8;Lyon;Livré
O000372;2024-12-25;P00943;3;Paris;Livré
O000373;2024-12-09;P00781;5;Marseille;Livré
O000374;2024-02-28;P00906;2;Paris;Livré
O000375;2024-10-08;P00035;1;Marseille;Livré
O000377;2024-09-06;P00767;2;Marseille;Livré
O000378;2024-10-19;P00936;8;Lyon;Livré
O000379;2024-01-19;P00093;1;Lyon;Livré
O000380;2024-04-13;P00899;1;Marseille;Livré
O000381;2024-12-13;P00234;1;Lyon;Livré
O000382;2024-10-13;P00037;1;Marseille;Livré
O000385;2024-12-15;P00414;10;Paris;Livré
O000386;2024-02-05;P00654;5;Marseille;Livré
O000387;2024-10-04;P00764;3;Marseille;Livré
O000388;2024-09-02;P00193;1;Marseille;Livré
O000391;2024-02-08;P00462;3;Lyon;Livré
O000393;2024-02-13;P00242;3;Marseille;Expédié
O000394;2024-02-10;P00366;1;Paris;Expédié
O000395;2024-04-08;P00362;2;Lyon;Livré
O000396;2024-05-28;P00133;2;Marseille;Livré
O000397;2024-01-21;P00521;5;Lyon;Livré
O000398;2024-12-02;P00836;5;Marseille;Livré
O000399;2024-04-06;P00521;1;Marseille;Expédié
O000400;2024-11-06;P00370;2;Paris;Expédié
O000401;2024-12-18;P00417;5;Paris;Livré
O000402;2024-12-15;P00182;3;Lyon;Expédié
O000403;2024-01-26;P00337;10;Lyon;Livré
O000404;2024-01-07;P00170;5;Paris;Livré
O000405;2024-12-27;P00963;1;Lyon;Livré
O000406;2024-03-17;P00466;1;Lyon;Livré
O000407;2024-11-22;P00604;5;Paris;Livré
O000408;2024-11-08;P00044;1;Paris;Livré
O000409;2024-10-13;P00014;3;Paris;Livré
O000411;2024-03-23;P00202;15;Paris;Livré
O000413;2024-11-29;P00516;3;Paris;Expédié
O000414;2024-11-28;P00890;2;Paris;Livré
O000415;2024-05-27;P00240;5;Lyon;Livré
O000416;2024-12-30;P00952;3;Marseille;Livré
O000417;2024-03-11;P00943;3;Paris;Expédié
O000418;2024-06-08;P00865;15;Lyon;Expédié
O000419;2024-10-30;P00971;2;Lyon;Expédié
O000420;2024-03-18;P00742;15;Lyon;Expédié
O000421;2024-09-07;P00396;12;Marseille;Livré
O000422;2024-09-07;P00136;1;Marseille;Livré
O000423;2024-12-21;P00008;1;Marseille;Expédié
O000424;2024-09-02;P00704;1;Lyon;Livré
O000425;2024-12-23;P00973;1;Paris;Livré
O000426;2024-02-19;P00277;1;Lyon;Livré
O000427;2024-08-23;P00620;5;Marseille;Livré
O000428;2024-11-18;P00362;1;Marseille;Livré
O000431;2024-09-16;P00865;2;Paris;Livré
O000432;2024-06-19;P00334;10;Lyon;Expédié
O000433;2024-11-14;P00149;1;Marseille;Livré
O000434;2024-09-04;P00688;8;Lyon;Livré
O000436;2024-08-22;P00284;2;Lyon;Livré
O000438;2024-01-11;P00467;1;Lyon;Livré
O000439;2024-09-12;P00817;5;Marseille;Livré
O000440;2024-11-07;P00170;5;Lyon;Livré
O000441;2024-09-09;P00133;10;Marseille;Livré
O000442;2024-12-11;P00871;8;Lyon;Livré
O000443;2024-11-02;P00252;8;Lyon;Livré
O000444;2024-12-31;P00612;2;Marseille;Expédié
O000446;2024-01-19;P00253;1;Marseille;Livré
O000448;2024-01-24;P00222;8;Paris;Livré
O000449;2024-11-25;P00063;8;Lyon;Livré
O000450;2024-09-16;P00184;20;Lyon;Livré
O000452;2024-12-09;P00876;2;Lyon;Livré
O000454;2024-12-07;P00470;2;Lyon;Expédié
O000455;2024-02-09;P00373;8;Lyon;Expédié
O000456;2024-02-06;P00258;2;Marseille;Livré
O000457;2024-12-24;P00800;12;Marseille;Livré
O000458;2024-11-09;P00923;10;Marseille;Livré
O000459;2024-12-12;P00794;2;Paris;Expédié
O000460;2024-12-04;P00039;8;Paris;Expédié
O000462;2024-10-30;P00080;8;Paris;Expédié
O000464;2024-10-18;P00651;1;Marseille;Livré
O000465;2024-03-03;P00557;12;Paris;Livré
O000466;2024-05-17;P00912;3;Paris;Livré
O000467;2024-10-12;P00955;10;Lyon;Livré
O000468;2024-03-28;P00893;2;Paris;Livré
O000469;2024-04-15;P00811;12;Marseille;Livré
O000470;2024-10-17;P00503;2;Paris;Livré
O000471;2024-02-27;P00377;1;Lyon;Livré
O000472;2024-10-06;P00509;12;Marseille;Livré
O000473;2024-03-09;P00152;1;Marseille;Livré
O000474;2024-04-02;P00226;2;Lyon;Livré
O000475;2024-10-19;P00729;15;Marseille;Expédié
O000476;2024-03-29;P00923;15;Marseille;Expédié
O000477;2024-04-10;P00890;3;Marseille;Expédié
O000479;2024-01-05;P00988;5;Paris;Livré
O000480;2024-11-02;P00107;2;Lyon;Livré
O000481;2024-10-16;P00126;2;Marseille;Livré
O000482;2024-12-12;P00414;2;Lyon;Livré
O000483;2024-01-31;P00811;5;Lyon;Expédié
O000484;2024-04-27;P00390;8;Paris;Livré
O000486;2024-05-19;P00963;8;Paris;Expédié
O000487;2024-05-24;P00250;8;Paris;Livré
O000488;2024-09-02;P00924;1;Marseille;Livré
O000489;2024-11-13;P00467;3;Paris;Livré
O000490;2024-11-06;P00738;1;Lyon;Livré
O000491;2024-09-21;P00754;3;Lyon;Livré
O000492;2024-12-04;P00787;2;Paris;Livré
O000493;2024-11-09;P00865;10;Paris;Expédié
O000494;2024-01-27;P00366;2;Lyon;Expédié
O000495;2024-12-01;P00118;1;Lyon;Expédié
O000496;2024-09-14;P00136;1;Marseille;Livré
O000497;2024-04-29;P00377;8;Paris;Livré
O000498;2024-10-06;P00490;5;Paris;Livré
O000499;2024-10-10;P00698;1;Marseille;Expédié
O000500;2024-12-13;P00119;1;Marseille;Expédié
O000501;2024-03-25;P00604;5;Marseille;Livré
O000502;2024-10-31;P00981;1;Paris;Livré
O000503;2024-02-19;P00011;10;Paris;Livré
O000504;2024-12-15;P00025;5;Lyon;Livré
O000505;2024-12-04;P00136;1;Paris;Livré
O000507;2024-03-28;P00613;1;Lyon;Livré
O000508;2024-02-15;P00121;20;Paris;Livré
O000510;2024-01-29;P00972;2;Lyon;Livré
O000511;2024-12-03;P00809;2;Lyon;Expédié
O000513;2024-11-28;P00478;8;Paris;Livré
O000514;2024-11-21;P00093;15;Marseille;Livré
O000515;2024-02-14;P00234;20;Paris;Livré
O000516;2024-11-14;P00541;8;Paris;Livré
O000517;2024-12-06;P00613;2;Lyon;Livré
O000518;2024-12-28;P00400;1;Paris;Livré
O000519;2024-01-23;P00507;8;Paris;Livré
O000520;2024-12-17;P00679;3;Marseille;Livré
O000521;2024-12-13;P00604;2;Paris;Livré
O000522;2024-11-29;P00742;12;Lyon;Livré
O000526;2024-10-04;P00449;1;Paris;Livré
O000527;2024-11-15;P00843;3;Marseille;Livré
O000528;2024-12-27;P00252;1;Marseille;Expédié
O000529;2024-11-07;P00541;3;Lyon;Livré
O000530;2024-12-10;P00979;1;Paris;Livré
O000531;2024-12-08;P00604;1;Lyon;Livré
O000532;2024-01-09;P00671;1;Paris;Livré
O000533;2024-04-07;P00938;5;Paris;Livré
O000534;2024-04-24;P00581;8;Paris;Livré
O000535;2024-11-19;P00767;3;Paris;Expédié
O000536;2024-12-26;P00403;15;Paris;Expédié
O000537;2024-06-09;P00536;2;Lyon;Expédié
O000538;2024-01-20;P00912;2;Marseille;Livré
O000539;2024-01-05;P00330;10;Lyon;Livré
O000542;2024-11-23;P00105;1;Lyon;Livré
O000543;2024-01-07;P00948;15;Paris;Livré
O000544;2024-09-06;P00893;1;Marseille;Expédié
O000546;2024-12-20;P00868;15;Paris;Livré
O000547;2024-11-11;P00881;1;Marseille;Livré
O000549;2024-04-27;P00181;12;Lyon;Livré
O000550;2024-11-27;P00258;3;Paris;Livré
O000551;2024-12-21;P00716;20;Lyon;Livré
O000552;2024-11-12;P00233;1;Marseille;Livré
O000553;2024-09-30;P00240;3;Lyon;Livré
O000554;2024-04-24;P00631;15;Paris;Livré
O000555;2024-10-09;P00029;3;Paris;Expédié
O000556;2024-10-10;P00738;5;Lyon;Livré
O000557;2024-12-28;P00227;5;Marseille;Livré
O000558;2024-02-25;P00620;3;Paris;Livré
O000559;2024-02-02;P00385;5;Marseille;Livré
O000560;2024-11-15;P00140;3;Paris;Livré
O000561;2024-11-21;P00488;12;Paris;Livré
O000563;2024-10-02;P00526;1;Marseille;Livré
O000564;2024-05-04;P00742;2;Marseille;Expédié
O000565;2024-06-30;P00778;15;Paris;Expédié
O000566;2024-09-27;P00699;12;Paris;Expédié
O000567;2024-03-04;P00413;3;Paris;Expédié
O000568;2024-01-27;P00630;5;Lyon;Livré
O000569;2024-12-12;P00643;2;Paris;Livré
O000570;2024-11-26;P00843;1;Lyon;Livré
O000571;2024-11-20;P00615;3;Paris;Livré
O000573;2024-12-01;P00035;2;Paris;Expédié
O000574;2024-12-15;P00923;3;Lyon;Livré
O000576;2024-03-03;P00175;1;Paris;Livré
O000577;2024-12-25;P00971;15;Marseille;Livré
O000578;2024-02-24;P00396;20;Paris;Livré
O000579;2024-11-12;P00510;5;Marseille;Livré
O000580;2024-12-14;P00921;3;Marseille;Livré
O000581;2024-01-30;P00149;2;Lyon;Livré
O000582;2024-09-10;P00014;8;Marseille;Livré
O000583;2024-12-29;P00532;5;Paris;Livré
O000584;2024-10-17;P00811;1;Lyon;Livré
O000587;2024-09-24;P00467;12;Paris;Livré
O000588;2024-12-09;P00159;10;Paris;Livré
O000589;2024-01-25;P00110;15;Lyon;Expédié
O000590;2024-12-27;P00435;8;Marseille;Livré
O000592;2024-12-06;P00029;5;Marseille;Livré
O000593;2024-12-04;P00105;2;Lyon;Livré
O000595;2024-11-07;P00011;12;Paris;Expédié
O000596;2024-04-06;P00963;10;Marseille;Livré
O000599;2024-12-10;P00258;1;Marseille;Expédié
O000600;2024-03-27;P00357;1;Paris;Expédié
O000601;2024-10-09;P00641;2;Paris;Livré
O000602;2024-04-04;P00846;8;Paris;Livré
O000603;2024-11-28;P00757;20;Lyon;Livré
O000604;2024-12-08;P00400;1;Paris;Livré
O000605;2024-12-22;P00931;3;Marseille;Livré
O000606;2024-12-17;P00379;2;Paris;Livré
O000607;2024-01-01;P00182;15;Marseille;Expédié
O000608;2024-12-02;P00002;10;Paris;Livré
O000609;2024-05-11;P00636;10;Marseille;Livré
O000610;2024-12-19;P00876;3;Paris;Expédié
O000611;2024-07-16;P00859;2;Marseille;Livré
O000614;2024-01-29;P00729;2;Lyon;Expédié
O000616;2024-12-29;P00729;1;Marseille;Livré
O000617;2024-05-23;P00784;10;Paris;Livré
O000618;2024-12-09;P00090;8;Paris;Livré
O000619;2024-08-09;P00467;20;Paris;Livré
O000620;2024-08-07;P00357;20;Paris;Expédié
O000623;2024-11-10;P00128;3;Marseille;Expédié
O000624;2024-11-29;P00031;8;Marseille;Livré
O000625;2024-06-09;P00046;15;Lyon;Livré
O000626;2024-09-11;P00149;10;Marseille;Expédié
